LNR,Response
1754,0.03755754
1770,0.030494608
1465,0.0039674034
1470,0.0046077827
1478,0.008678857
1782,0.00292643
1485,0.0049181543
1519,0.03228016
1835,0.035044063
1522,0.008069591
1539,0.004188327
1853,0.026736988
1856,0.024367107
2502,0.005605479
2182,0.04179986
2191,0.019180909
2522,0.026199955
2530,0.025014041
2215,0.005662896
2550,0.03249365
2570,0.006079213
2574,0.0041213077
2579,0.008047346
2247,0.05478742
2674,0.0027716588
11434,0.0053148083
11122,0.06499963
11127,0.030751137
11443,0.052097004
11170,0.012657939
11191,0.0044301255
11198,0.025612665
10936,0.012145591
11244,0.018981433
11247,0.025191749
11252,0.011773864
11259,0.012145591
10945,0.00329618
10951,0.0032336523
11271,0.025003873
10963,0.042444974
11282,0.005070442
11291,0.015932515
10980,0.0060731545
10994,0.0043345033
10998,0.012657939
11303,0.012745404
11630,0.0030163615
11636,0.0043263556
11949,0.004061412
11950,0.029433725
11956,0.03678281
11648,0.012657939
11653,0.02570512
11967,0.0033902891
11972,0.0034255385
11975,0.004638373
12110,0.0039196685
12113,0.037360176
11712,0.0040003085
11716,0.012145591
12000,0.0052444907
11722,0.027978912
12023,0.012657939
12046,0.006446691
11762,0.012145591
12071,0.003477662
12077,0.004443622
11785,0.031578124
11788,0.0055426266
11790,0.00372685
11800,0.021874685
11806,0.0052928994
11816,0.0028507377
11505,0.0058422587
11837,0.0044068485
11531,0.029736986
11848,0.005261968
11854,0.0043625915
11877,0.018095098
11563,0.002968034
11567,0.0043186084
11894,0.011512929
11906,0.0046333144
11917,0.012657939
11610,0.012657939
11923,0.008497873
12596,0.00882923
12603,0.0033861268
12608,0.006515998
12633,0.006472017
12637,0.008211052
21484,0.012318863
21184,0.0038350385
21247,0.0053198603
20991,0.031609315
21018,0.006958584
21019,0.023973452
21047,0.003552381
21054,0.0031733224
21374,0.019077905
21392,0.003902836
21713,0.00302332
22019,0.0075400616
22025,0.028190207
21722,0.027195012
21728,0.004667344
22039,0.012838426
22044,0.00509642
61900,0.0051799095
62548,0.021057881
63176,0.0040618503
64473,0.030332042
64779,0.04027961
64780,0.005907332
64784,0.0052849473
65105,0.012418866
65431,0.035946835
65433,0.045124423
66055,0.004517403
66071,0.012418866
61280,0.029272044
61281,0.048297964
61284,0.009347567
61597,0.0047066077
61606,0.0033114215
62235,0.04118049
62240,0.0047700265
62241,0.0054171514
62555,0.021444138
62557,0.013490557
62565,0.003474694
62566,0.034870286
63515,0.007868234
63524,0.040828608
64797,0.005350326
65116,0.011916078
75249,0.006911859
75253,0.028067984
75575,0.012259993
76212,0.0043247454
71422,0.009229846
72059,0.030809306
72060,0.006703841
72383,0.003088316
72386,0.0035327373
72700,0.005527786
72715,0.0028369466
73028,0.00547974
73346,0.0057674306
73658,0.0042322543
73662,0.021382174
73666,0.015308727
73668,0.018061088
73985,0.032261554
74299,0.0033424972
74310,0.039443668
74312,0.02924035
74619,0.008968392
74620,0.002837459
74627,0.0031477443
74938,0.005793637
74952,0.0050811577
75911,0.007878686
75913,0.005860611
76221,0.0056900815
76227,0.0030997987
71448,0.0044115037
15887,0.002425497
15498,0.0032591189
15504,0.030408321
15507,0.0056754323
15521,0.0038622038
24403,0.0034101268
24100,0.04162824
24436,0.004150654
24440,0.005077859
24442,0.012318863
24148,0.0051525496
24149,0.0052372413
24155,0.0037238628
24458,0.0040033553
24169,0.029291915
24477,0.029947273
24479,0.004858107
24486,0.005200028
24190,0.02719588
24515,0.028805222
24214,0.046898797
25183,0.012838426
25207,0.003863914
24889,0.02194764
24890,0.0057716263
25226,0.013768487
25232,0.014853208
25244,0.0044977563
25339,0.0044849897
25355,0.038819227
24958,0.005515757
25277,0.00526382
25286,0.030597886
24988,0.012838426
25298,0.0069108573
25309,0.0261615
25315,0.0030745014
25014,0.012838426
25322,0.0041906247
25333,0.02594602
25025,0.015851006
24726,0.00919617
24735,0.012318863
25055,0.004534269
25056,0.0043199477
24746,0.024254166
25061,0.0056246724
25067,0.0029611615
25074,0.0032938875
24773,0.0038271951
25080,0.012318863
25086,0.029812554
25088,0.004288611
24777,0.008473064
24796,0.0035221395
25104,0.003933983
24806,0.016863404
25118,0.0052744374
24822,0.012838426
82811,0.029373223
83449,0.06592955
83459,0.013139319
83770,0.0131919915
84091,0.0055753784
84096,0.0037185238
84737,0.016855657
85048,0.013139319
85049,0.028655536
85051,0.009376388
85369,0.0072297547
85374,0.017416852
85380,0.02912913
82190,0.0032960798
82505,0.016835732
82515,0.006731474
82517,0.0043558404
82821,0.015828513
83140,0.015927678
788,0.0037414709
1102,0.0047440627
1109,0.0029931816
821,0.0032135732
829,0.005577148
837,0.03675015
845,0.015568059
1163,0.026229
861,0.012145591
899,0.0049899537
1207,0.020586845
906,0.0044153654
1221,0.056109168
1545,0.004577943
1546,0.0569062
1555,0.0083114505
1556,0.027826447
1879,0.0046139825
1885,0.01936636
1593,0.008286902
1902,0.020203764
1611,0.004104375
1921,0.003529833
1927,0.027806908
1651,0.0074555534
1978,0.028664446
1718,0.009546501
1722,0.0036477437
1734,0.025111187
41705,0.0069921915
41711,0.012838426
41712,0.003959093
42029,0.003032593
42347,0.018210346
42352,0.0038041454
42353,0.003665016
42671,0.01905211
42987,0.0039914194
43310,0.0073518064
43627,0.0035544287
43629,0.0037470078
43945,0.016935961
43953,0.0046370984
43954,0.058545303
43961,0.004446002
44280,0.005024937
44917,0.003239689
44924,0.029248783
44927,0.0034339582
45244,0.004795083
45570,0.020559283
45584,0.033927754
41721,0.0050645373
41739,0.012838426
42054,0.022287257
42369,0.0038766926
42689,0.005333369
43019,0.0037510172
43331,0.036124848
51328,0.0045344094
51644,0.025933187
51653,0.017131625
51969,0.0105431685
52308,0.05616248
52310,0.0073190667
52626,0.022520151
52638,0.006012925
52940,0.0046867956
52954,0.033362865
55194,0.011868221
55196,0.013575865
55526,0.012418866
55847,0.0038248524
55848,0.011916078
51024,0.012418866
51031,0.00827735
51342,0.02945414
51348,0.012862283
51666,0.008576362
51674,0.0027475385
51680,0.03151856
52331,0.0037017514
53302,0.011916078
82163,0.02176581
82481,0.005402981
82498,0.020384043
55852,0.011916078
55858,0.003443776
55859,0.0043566306
51037,0.011916078
51039,0.004700835
51683,0.022364436
51685,0.0041091
51695,0.015027906
51702,0.0054105273
52343,0.021988327
52353,0.011916078
53314,0.012418866
53322,0.014133963
53950,0.027069263
54597,0.0038009626
54925,0.010481799
55245,0.06810257
55558,0.018273527
55882,0.01916424
51384,0.004020847
51703,0.029754642
51706,0.0077424366
51711,0.038484696
52041,0.0033597557
52047,0.0041391165
52369,0.026275154
52689,0.006531188
53331,0.003427647
53341,0.0042843027
63455,0.028004276
63780,0.0059922356
63783,0.011916078
64096,0.004403975
64104,0.0036023415
64109,0.004836113
64422,0.011054272
65391,0.011916078
65705,0.0037168975
65709,0.0044735866
61568,0.013360591
62203,0.0072245616
62850,0.0053954213
62851,0.023746599
63164,0.0076502315
63491,0.021134844
63796,0.004031641
63799,0.051831063
63802,0.0039519765
63812,0.015266132
64127,0.0047437767
64449,0.021219263
64771,0.0034836244
65082,0.012418866
65399,0.0048580538
66039,0.012418866
66048,0.0030363423
71758,0.044602003
72077,0.011845784
72087,0.012345644
72405,0.021654949
72723,0.0075950287
72735,0.0056059468
73046,0.016593201
73682,0.0037086848
73694,0.008731242
73696,0.030802146
74317,0.022985535
74974,0.014948849
75286,0.0044018743
75605,0.0033601613
75612,0.011763561
75929,0.015791748
76239,0.004741544
71471,0.004302747
71776,0.005466137
71779,0.012345644
72112,0.0069888877
72417,0.0061764866
72420,0.0031510573
72425,0.025923882
73073,0.003922462
73393,0.004955457
73714,0.011944137
74337,0.036972478
74347,0.0068142824
74354,0.027545562
74666,0.0030564375
74667,0.011763561
74990,0.0374531
75949,0.006973123
75952,0.0045699733
71486,0.04177194
71805,0.02724769
71813,0.030689819
72130,0.006801138
72437,0.005922256
82469,0.014525405
82788,0.0052174446
82793,0.014525405
83111,0.015649224
83113,0.012581299
83420,0.045288976
83425,0.0056207185
83428,0.014459487
83433,0.0071286913
83759,0.042456836
84381,0.025504945
84709,0.029655797
85024,0.03347127
85026,0.016923519
85671,0.021117905
35158,0.0047972132
34851,0.006144175
34853,0.01903118
34859,0.0047112936
35162,0.0073560732
35165,0.012318863
34865,0.0053563337
34877,0.01384432
34898,0.0031883202
35203,0.0035461003
34902,0.004032771
34907,0.004255894
34930,0.04694824
34939,0.0034683016
35249,0.034115586
35561,0.0040154275
35568,0.012318863
35572,0.0054054
35574,0.012218475
35575,0.0034887749
35889,0.012318863
35583,0.004003186
35587,0.003097832
35597,0.006482693
35900,0.0040106955
35602,0.043727312
35606,0.027331129
35922,0.003765666
35936,0.003874649
41020,0.029524494
41028,0.020649884
41344,0.0052873446
41666,0.012467512
42319,0.033229634
42634,0.015851006
42944,0.02264984
42952,0.006361705
42954,0.003311305
43274,0.0039425725
43582,0.012233235
43590,0.004838684
43594,0.03789107
43909,0.020304928
43917,0.0459895
44561,0.002900055
45202,0.05871826
45210,0.0039887074
41684,0.037253767
41691,0.004543991
42333,0.006260765
42660,0.005481302
42963,0.008024589
42979,0.0041891723
43287,0.0057831192
44582,0.012233235
45233,0.0060420963
45544,0.0047942796
45550,0.0042668525
40729,0.0043747183
41379,0.016086549
41395,0.026745545
4332,0.0026081013
4346,0.005142694
4044,0.05074048
5031,0.023210784
5033,0.004588862
5057,0.028849028
4737,0.026047066
5067,0.024527509
4757,0.0055744853
4758,0.012657939
4762,0.005506482
4780,0.012657939
5183,0.013551627
5191,0.008140252
5198,0.012657939
4802,0.017485088
5126,0.012657939
5132,0.030295026
4830,0.025618652
5154,0.037346195
4854,0.012657939
4861,0.0032540576
5180,0.005349783
4574,0.004129608
4896,0.007659305
4592,0.0052309227
4599,0.004181136
4914,0.02825732
4604,0.0039980505
4932,0.009140343
4623,0.007350811
4633,0.030373251
4636,0.0031340343
4944,0.004778271
4949,0.01794723
4644,0.012657939
4977,0.025492404
4674,0.012145591
4986,0.009410825
4683,0.0029895015
4686,0.002723942
4691,0.003119611
4700,0.024208764
5018,0.004738568
5341,0.024047576
5646,0.023593143
5647,0.012145591
5649,0.0046244147
5661,0.003911872
5671,0.027017208
5677,0.03457062
5375,0.0053852876
5396,0.014883562
5410,0.0031395557
5411,0.00403077
5714,0.029054949
5427,0.00775656
5436,0.004034863
5725,0.030559994
5733,0.020241348
5454,0.027909946
10241,0.0035292124
10566,0.004324941
10579,0.0037110555
929,0.0046679573
935,0.025027186
1261,0.0035487518
951,0.00564762
952,0.012145591
955,0.0045821606
1295,0.04397955
966,0.003005933
974,0.004353705
1305,0.005884842
995,0.045417137
998,0.003600057
1403,0.02724297
1001,0.01632905
1009,0.004742489
1338,0.044653494
1029,0.012657939
1053,0.003579425
1062,0.0047186515
1067,0.003487462
1071,0.0063493825
9957,0.009163927
9960,0.047047175
9671,0.012145591
9680,0.03997611
9982,0.049086466
9700,0.02235798
9712,0.017026655
10023,0.02745999
10042,0.004820318
10043,0.0057739993
10048,0.029812375
10049,0.0044037825
10054,0.0036817328
10057,0.003624667
10388,0.0042600147
10396,0.0069365622
10700,0.0065813893
10716,0.012145591
10418,0.004634504
10730,0.029512275
10733,0.004767449
10429,0.03598333
10844,0.004406878
10856,0.0041811676
10448,0.0033824295
10451,0.003560348
10458,0.005368933
10743,0.005325202
10753,0.0037184977
10756,0.0037599623
10465,0.037377663
10488,0.050001178
10490,0.007867876
10495,0.012657939
10510,0.005509039
10818,0.00983259
10531,0.008320238
10823,0.003961416
10544,0.044871315
10553,0.0044893306
31437,0.0035140286
31442,0.005374385
31451,0.031013152
31453,0.040092938
31143,0.02101508
31146,0.0030879476
31149,0.012318863
31460,0.011965534
31466,0.0213918
31472,0.012318863
31788,0.009548741
32113,0.012838426
31807,0.0041390634
32122,0.006156008
32127,0.004203635
31820,0.0033170716
31832,0.012838426
32267,0.004447801
31860,0.0058863927
31873,0.015920775
32168,0.030059353
32177,0.012318863
31882,0.013931682
31896,0.037629128
31910,0.0070921257
32211,0.04158909
32232,0.03296546
31943,0.012318863
31950,0.007309224
32243,0.03793403
31966,0.013094481
31976,0.019917322
31666,0.007429769
31674,0.004892641
31989,0.028561639
31990,0.004115423
31991,0.017032348
31997,0.005126102
31692,0.012838426
31719,0.0043109492
31723,0.04555759
32039,0.005470206
32042,0.004089398
31739,0.012318863
32061,0.0035176957
32062,0.0041580815
44333,0.0030065277
44656,0.0027039123
44658,0.014549671
44976,0.005905871
44990,0.012749233
45312,0.01306142
45644,0.0041848645
41146,0.012838426
41459,0.024491625
41462,0.0057581114
41787,0.003596648
42422,0.02246302
42743,0.0066222087
43076,0.0042768866
44350,0.005418837
44353,0.004480036
44356,0.0050544343
25163,0.012318863
25490,0.010116015
25811,0.012838426
25501,0.013702052
25502,0.0033134
25505,0.0052558635
25835,0.0072596944
25966,0.005114894
25973,0.0043632896
25570,0.005660346
25862,0.0070129046
25871,0.003213442
25877,0.0051371153
34738,0.0040530385
34445,0.0057499874
34447,0.005099397
34754,0.015851006
34764,0.031910263
34772,0.020707505
34775,0.0045827827
34484,0.0044962196
34180,0.017302632
34199,0.016355647
34527,0.012838426
34226,0.03917993
34555,0.0069931247
34243,0.01489117
34252,0.004246833
34267,0.0053198626
34276,0.02038314
34584,0.005301128
34283,0.012838426
34290,0.010279899
34291,0.007870121
34295,0.037933003
34599,0.0030377673
34603,0.025619717
35267,0.013120418
